"ABILITAZIONE","RUOLO","MODULO","VOCE_MENU","PADRE","SEQUENZA","DISPOSITIVO"
0,"*","","","NULL","NULL",""
0,"AMM","","","NULL","NULL",""
80000001,"*","AD4WEB","adm",0,0,""
80000001,"AMM","AD4WEB","adm",0,0,""
80000045,"*","AD4WEB","admpref",80000001,20,""
80000045,"AMM","AD4WEB","admpref",80000001,20,""
80000154,"*","AD4WEB","admmenu",80000001,1,""
80000154,"AMM","AD4WEB","admmenu",80000001,1,""
80000050,"*","AD4WEB","admguide",0,91,""
80000050,"AMM","AD4WEB","admguide",0,91,""
80000048,"*","AD4WEB","admuteni",80000050,0,""
80000048,"AMM","AD4WEB","admuteni",80000050,0,""
80000049,"*","AD4WEB","admutenr",80000050,1,""
80000049,"AMM","AD4WEB","admutenr",80000050,1,""
80000051,"*","AD4WEB","admuteng",80000050,2,""
80000051,"AMM","AD4WEB","admuteng",80000050,2,""
80000117,"*","AD4WEB","admgrupu",80000050,9,""
80000117,"AMM","AD4WEB","admgrupu",80000050,9,""
80000150,"*","AD4WEB","admuteca",80000050,3,""
80000150,"AMM","AD4WEB","admuteca",80000050,3,""
80000151,"*","AD4WEB","admutena",80000050,4,""
80000151,"AMM","AD4WEB","admutena",80000050,4,""
80000086,"*","AD4WEB","amvguide",0,90,""
80000086,"AMM","AD4WEB","amvguide",0,90,""
80000043,"*","AD4WEB","admservg",80000086,2,""
80000043,"AMM","AD4WEB","admservg",80000086,2,""
80000046,"*","AD4WEB","admgrup",80000043,6,""
80000046,"AMM","AD4WEB","admgrup",80000043,6,""
80000047,"*","AD4WEB","admuten",80000043,5,""
80000047,"AMM","AD4WEB","admuten",80000043,5,""
80000089,"*","AD4WEB","admricha",80000043,1,""
80000089,"AMM","AD4WEB","admricha",80000043,1,""
80000090,"*","AD4WEB","admrichp",80000043,3,""
80000090,"AMM","AD4WEB","admrichp",80000043,3,""
80000091,"*","AD4WEB","admrichn",80000043,2,""
80000091,"AMM","AD4WEB","admrichn",80000043,2,""
80000160,"*","AD4WEB","admacce",80000043,7,""
80000160,"AMM","AD4WEB","admacce",80000043,7,""
80000092,"*","AD4WEB","admmenug",80000086,3,""
80000092,"AMM","AD4WEB","admmenug",80000086,3,""
80000093,"*","AD4WEB","admguida",80000092,0,""
80000093,"AMM","AD4WEB","admguida",80000092,0,""
80000168,"*","AD4WEB","admrevm",0,3,""
80000168,"AMM","AD4WEB","admrevm",0,3,""
80000162,"*","AD4WEB","admrev1",80000168,6,""
80000162,"AMM","AD4WEB","admrev1",80000168,6,""
80000163,"*","AD4WEB","admrev2",80000168,7,""
80000163,"AMM","AD4WEB","admrev2",80000168,7,""
80000166,"*","AD4WEB","admrev0",80000168,5,""
80000166,"AMM","AD4WEB","admrev0",80000168,5,""
80000167,"*","AD4WEB","admrev",80000168,4,""
80000167,"AMM","AD4WEB","admrev",80000168,4,""
80000169,"*","AD4WEB","admrev3",80000168,8,""
80000169,"AMM","AD4WEB","admrev3",80000168,8,""
80000170,"*","AD4WEB","admrev5",80000168,10,""
80000170,"AMM","AD4WEB","admrev5",80000168,10,""
80000171,"*","AD4WEB","admrev4",80000168,9,""
80000171,"AMM","AD4WEB","admrev4",80000168,9,""
80000174,"*","AD4WEB","admrev6",80000168,3,""
80000174,"AMM","AD4WEB","admrev6",80000168,3,""
80000213,"*","AD4WEB","admc",0,0,""
80000213,"AMM","AD4WEB","admc",0,0,""
80000156,"*","AD4WEB","admdiri",80000213,7,""
80000156,"AMM","AD4WEB","admdiri",80000213,7,""
80000165,"*","AD4WEB","admrevel",80000213,3,""
80000165,"AMM","AD4WEB","admrevel",80000213,3,""
80000192,"*","AD4WEB","admclass",80000213,5,""
80000192,"AMM","AD4WEB","admclass",80000213,5,""
80000003,"*","AD4WEB","admcate",80000192,2,""
80000003,"AMM","AD4WEB","admcate",80000192,2,""
80000153,"*","AD4WEB","admaree",80000192,8,""
80000153,"AMM","AD4WEB","admaree",80000192,8,""
80000157,"*","AD4WEB","admrile",80000192,5,""
80000157,"AMM","AD4WEB","admrile",80000192,5,""
80000161,"*","AD4WEB","admtipo",80000192,1,""
80000161,"AMM","AD4WEB","admtipo",80000192,1,""
80000172,"*","AD4WEB","admsezio",80000192,4,""
80000172,"AMM","AD4WEB","admsezio",80000192,4,""
80000253,"*","AD4WEB","admargo",80000192,3,""
80000253,"AMM","AD4WEB","admargo",80000192,3,""
80000193,"*","AD4WEB","admcont",80000213,2,""
80000193,"AMM","AD4WEB","admcont",80000213,2,""
90001000,"*","AD4WEB","AD4ARC",0,10,""
90001000,"AMM","AD4WEB","AD4ARC",0,10,""
90001010,"*","AD4WEB","AD4AMBI",90001000,10,""
90001010,"AMM","AD4WEB","AD4AMBI",90001000,10,""
90001020,"*","AD4WEB","AD4ENTIE",90001000,20,""
90001020,"AMM","AD4WEB","AD4ENTIE",90001000,20,""
90001030,"*","AD4WEB","AD4PROG",90001000,30,""
90001030,"AMM","AD4WEB","AD4PROG",90001000,30,""
90001040,"*","AD4WEB","AD4SOGG",90001000,40,""
90001040,"AMM","AD4WEB","AD4SOGG",90001000,40,""
90001605,"*","AD4WEB","ad4diziC",90001000,60,""
90001605,"AMM","AD4WEB","ad4diziC",90001000,60,""
90001606,"*","AD4WEB","ad4diziB",90001000,70,""
90001606,"AMM","AD4WEB","ad4diziB",90001000,70,""
90002000,"*","AD4WEB","AD4ABIL",0,20,""
