"GUIDA","SEQUENZA","ALIAS","TITOLO","TITOLO_AL1","TITOLO_AL2","TITOLO_BREVE","TITOLO_BREVE_AL1","TITOLO_BREVE_AL2","LETTERA","LETTERA_AL1","LETTERA_AL2","VOCE_GUIDA","VOCE_MENU","VOCE_RIF","PROPRIETA"
"AD4ACCEG","0","web","Registro Accessi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4ACCET","NULL","NULL"
"AD4ACCEG","1","web","Ricerca Accessi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4ACCEE","NULL","NULL"
"AD4GRUGU","0","web","Dizionario","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4GRUPE","AD4GRUGU","NULL"
"AD4GRUGU","1","web","Struttura","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4GRUPT","AD4GRUGU","NULL"
"AD4GRUPG","0","web","Gruppo","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4GRUPA","AD4GRUPE","NULL"
"AD4GRUPG","1","G","Accessi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4DIACG","AD4DIACG","NULL"
"AD4GRUPG","2","G","Appartenenza","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4GRUTG","AD4GRUTG","NULL"
"AD4PROGG","0","web","Progetto","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4PROGA","AD4PROGG","NULL"
"AD4PROGG","1","web","Istanze","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4ISTA","AD4PROG","NULL"
"AD4PROGG","3","web","Servizi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4SERV","AD4PROG","NULL"
"AD4PROGG","2","web","Moduli","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4MODU","AD4PROG","NULL"
"AD4UTENG","1","U","Accessi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4DIACE","AD4DIACE","NULL"
"AD4UTENG","0","web","Utente","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4UTENA","AD4UTENE","NULL"
"AD4UTENG","3","U","Appartenenza","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4GRUTE","AD4GRUTE","NULL"
"AD4UTENG","2","5","Richieste","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","AD4RIABE","AD4RIABE","NULL"
"admmenu","0","web","Struttura","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admmenu","admmenu","NULL"
"admmenu","1","web","Altre voci","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admmenu","admmenu","NULL"
"admmenu","2","web","Tutte le voci","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admmenu","admmenu","NULL"
"admpref","0","0","Ambiente","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admpref","NULL","NULL"
"admpref","1","1","Modulo","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admpref","NULL","NULL"
"admriche","0","0","In Carico","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admriche","NULL","NULL"
"admriche","1","1","Da Verificare","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admriche","NULL","NULL"
"admriche","2","2","Approvate","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admriche","NULL","NULL"
"admriche","3","3","Respinte","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admriche","NULL","NULL"
"admriche","4","4","Tutte","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admriche","NULL","NULL"
"admservg","0","web","Richieste","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admriche","NULL","NULL"
"admservg","1","web","Utenti","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admuten","NULL","NULL"
"admservg","2","web","Gruppi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admgrup","NULL","NULL"
"admservg","3","web","Accessi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admacce","NULL","NULL"
"admuteni","0","web","Dati","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admuteni","NULL","NULL"
"admuteni","1","web","Servizi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admutenr","NULL","NULL"
"admuteni","2","web","Gruppi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admuteng","NULL","NULL"
"admuteni","3","web","Profilo accesso","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admuteca","NULL","NULL"
"admuteni","4","web","Accessi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","admutena","NULL","NULL"
"amvacce","0","web","Caratteristiche","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","amvacce","amvprof","NULL"
"amvacce","1","web","Ultimi accessi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","amvacceu","amvprof","NULL"
"amvacce","2","web","Aree documentali","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","amvacced","amvprof","NULL"
"amvacced","0","web","Caratteristiche","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","amvacce","amvprof","NULL"
"amvacced","1","web","Ultimi accessi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","amvacceu","amvprof","NULL"
"amvacced","2","web","Aree documentali","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","amvacced","amvprof","NULL"
"amvacceu","0","web","Caratteristiche","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","amvacce","amvprof","NULL"
"amvacceu","1","web","Ultimi accessi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","amvacceu","amvprof","NULL"
"amvacceu","2","web","Aree documentali","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","amvacced","amvprof","NULL"
"amvprefs","0","web","Stile","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","amvprefs","NULL","NULL"
