"CODICE_PAESE_TERRITORIO","DENOMINAZIONE","CODIFICA_ISTAT","BLACK_LIST"
"238","ABU DHABI","NULL","N"
"2","AFGHANISTAN","301","N"
"239","AJMAN","NULL","N"
"292","ALAND ISOLE","NULL","N"
"87","ALBANIA","201","N"
"3","ALGERIA","401","N"
"148","AMERICAN SAMOA","726","N"
"4","ANDORRA","202","S"
"133","ANGOLA","402","S"
"209","ANGUILLA","502","S"
"180","ANTARTIDE","NULL","N"
"197","ANTIGUA E BARBUDA","503","S"
"5","ARABIA SAUDITA","302","N"
"6","ARGENTINA","602","N"
"266","ARMENIA","358","N"
"212","ARUBA","603","S"
"227","ASCENSION","NULL","N"
"7","AUSTRALIA","701","N"
"8","AUSTRIA","203","N"
"268","AZERBAIGIAN","359","N"
"234","AZZORRE ISOLE","204","N"
"160","BAHAMAS","505","S"
"169","BAHRAIN","304","S"
"130","BANGLADESH","305","N"
"118","BARBADOS","506","S"
"9","BELGIO","206","N"
"198","BELIZE","507","S"
"158","BENIN","406","N"
"207","BERMUDA","508","S"
"97","BHUTAN","306","N"
"264","BIELORUSSIA","208","N"
"10","BOLIVIA","604","N"
"295","BONAIRE SAINT EUSTATIUS AND SABA","NULL","N"
"274","BOSNIA-ERZEGOVINA","252","N"
"98","BOTSWANA","408","N"
"280","BOUVET ISLAND","807","N"
"11","BRASILE","605","N"
"125","BRUNEI DARUSSALAM","309","S"
"12","BULGARIA","209","N"
"142","BURKINA FASO","409","N"
"25","BURUNDI","410","N"
"135","CAMBOGIA","310","N"
"119","CAMERUN","411","N"
"139","CAMPIONE D'ITALIA","NULL","N"
"13","CANADA","509","N"
"100","CANARIE ISOLE","412","N"
"188","CAPO VERDE","413","N"
"256","CAROLINE ISOLE","NULL","N"
"211","CAYMAN (ISOLE)","511","S"
"275","CECA (REPUBBLICA)","257","N"
"143","CENTROAFRICANA (REPUBBLICA)","414","N"
"246","CEUTA","NULL","N"
"230","CHAFARINAS","NULL","N"
"255","CHAGOS ISOLE","NULL","N"
"282","CHRISTMAS ISLAND","312","N"
"144","CIAD","415","N"
"15","CILE","606","N"
"16","CINA","314","N"
"101","CIPRO","315","S"
"93","CITTA' DEL VATICANO","246","N"
"223","CLIPPERTON","512","N"
"281","COCOS (KEELING) ISLAND","318","N"
"17","COLOMBIA","608","N"
"176","COMORE, ISOLE","417","N"
"145","CONGO","418","N"
"18","CONGO (REP. DEMOCRATICA DEL)","463","N"
"237","COOK ISOLE","702","S"
"74","COREA DEL NORD","319","N"
"84","COREA DEL SUD","320","S"
"146","COSTA D'AVORIO","404","N"
"19","COSTA RICA","513","S"
"261","CROAZIA","250","N"
"20","CUBA","514","N"
"296","CURACAO","NULL","N"
"21","DANIMARCA","212","N"
"192","DOMINICA","515","S"
"63","DOMINICANA (REPUBBLICA)","516","N"
"240","DUBAI","NULL","N"
"24","ECUADOR","609","S"
"23","EGITTO","419","N"
"277","ERITREA","466","N"
"257","ESTONIA","247","N"
"26","ETIOPIA","420","N"
"204","FAEROER (ISOLE)","213","N"
"190","FALKLAND (ISOLE)","610","N"
"161","FIJI, ISOLE","703","N"
"27","FILIPPINE","323","S"
"28","FINLANDIA","214","N"
