"OBJECT_NAME";"OBJECT_TYPE"
"GET_ELENCO_DIAC";"FUNCTION"
"GET_GRUPPI_UTENTE";"FUNCTION"
"GET_ID_REGIONE";"FUNCTION"
"GET_ISTANZA";"FUNCTION"
"IS_VERSIONE_MAGGIORE";"FUNCTION"
"STE";"FUNCTION"
"TRACCIA_ACCESSO";"FUNCTION"
"UTENTE_IS_MEMBER";"FUNCTION"
"ACCESSI_TPK";"PACKAGE"
"ACCESSO";"PACKAGE"
"ADMIN_AD4";"PACKAGE"
"ADMIN_GRANT";"PACKAGE"
"AD4_CCS";"PACKAGE"
"AD4_EVENTO";"PACKAGE"
"AD4WEB";"PACKAGE"
"AD4WEB_PKG";"PACKAGE"
"AFC";"PACKAGE"
"AFC_BFILE";"PACKAGE"
"AFC_DDL";"PACKAGE"
"AFC_DML";"PACKAGE"
"AFC_ERROR";"PACKAGE"
"AFC_HTML";"PACKAGE"
"AFC_LOB";"PACKAGE"
"AMV_AREA";"PACKAGE"
"AMV_DOCUMENTO";"PACKAGE"
"AMV_MENU";"PACKAGE"
"AMV_MENU_PAC";"PACKAGE"
"AMV_REVISIONE";"PACKAGE"
"AMV_SEZIONE";"PACKAGE"
"AMV_UTENTE";"PACKAGE"
"AMVWEB";"PACKAGE"
"ASL_CCS";"PACKAGE"
"ASSISTENTE_VIRTUALE_PKG";"PACKAGE"
"ASSISTENTE_VIRTUALE_PKG_ORIG";"PACKAGE"
"BANCHE_TPK";"PACKAGE"
"CARATTERISTICA_ACCESSO";"PACKAGE"
"CARATTERISTICHE_ACCESSO_TPK";"PACKAGE"
"CODICE_FISCALE";"PACKAGE"
"COMUNE";"PACKAGE"
"COMUNI_TOTALI_TPK";"PACKAGE"
"COMUNI_TPK";"PACKAGE"
"CRYPT";"PACKAGE"
"CRYPT_ORIG";"PACKAGE"
"DBC";"PACKAGE"
"DBMS_XMLQUERY";"PACKAGE"
"DBMS_XMLSAVE";"PACKAGE"
"DB_UTILITY";"PACKAGE"
"DBUTILS";"PACKAGE"
"DIRITTI_ACCESSO_TPK";"PACKAGE"
"DIRITTO_ACCESSO";"PACKAGE"
"EXTERNAL_FUNCTIONS_PKG";"PACKAGE"
"EXTERNAL_FUNCTIONS_TPK";"PACKAGE"
"FINMATICA_LDAP";"PACKAGE"
"GESTIONE_DATI_LOCALI";"PACKAGE"
"GLOBAL_UTILITY";"PACKAGE"
"GRUPPO";"PACKAGE"
"GV_$SESSION_MASTER_PKG";"PACKAGE"
"GV_$SESSION_PKG";"PACKAGE"
"INCARICHI_TPK";"PACKAGE"
"INFORMATIVE_PRIVACY_PKG";"PACKAGE"
"INFORMATIVE_PRIVACY_TPK";"PACKAGE"
"INTEGRAZIONI";"PACKAGE"
"INTEGRITYPACKAGE";"PACKAGE"
"ISTANZA";"PACKAGE"
"ISTANZA_AMM_PKG";"PACKAGE"
"ISTANZE_TPK";"PACKAGE"
"JFCUTILS";"PACKAGE"
"JOB_UTILITY";"PACKAGE"
"KEY_ERROR_LOG_PKG";"PACKAGE"
"KEY_ERROR_LOG_TPK";"PACKAGE"
"KEYPACKAGE";"PACKAGE"
"LDAP_TO_DB";"PACKAGE"
"LDAP_UTILITY";"PACKAGE"
"MASTER_UTILITY";"PACKAGE"
"MASTER_UTILITY_AD4";"PACKAGE"
"MODULI_TPK";"PACKAGE"
"OMONIMIE_GESTITE_PKG";"PACKAGE"
"OMONIMIE_GESTITE_TPK";"PACKAGE"
"OS_UTILS";"PACKAGE"
"PARAMETRI_RICHIESTA_TPK";"PACKAGE"
"PROGETTI_TPK";"PACKAGE"
"PROVINCIA";"PACKAGE"
"REGIONE";"PACKAGE"
"REGIONI_TPK";"PACKAGE"
"REGISTRO_AD4_PKG";"PACKAGE"
"REGISTRO_PAC";"PACKAGE"
